16.8615,84
17.02127,84
23.29203,62
30.28333,56
40.32206,60
11.01767,53
11.03701,53
12.17682,72
12.1896,72
9.471705,52
9.49982,52
22.99918,84
25.00759,55
25.02826,55
12.13534,71
12.15433,71
11.13988,67
11.16111,67
21.06065,66
12.55861,50
12.60471,50
9.759864,45
9.786822,45
19.49377,73
33.96708,56
28.43012,53
28.45077,53
13.79923,49
13.82377,49
24.07196,60
30.52674,67
42.5207,52
52.54399,80
59.68399,44
23.36185,40
23.38605,40
46.78148,59
11.01643,69
11.06061,69
10.43031,94
10.5529,94
22.10651,85
31.08837,70
48.50157,100
60.10965,100
35.85917,75
35.88506,75
20.10416,67
20.15434,67
22.8288,80
22.846,80
57.5281,55
57.54237,55
99.25758,44
47.56474,50
47.61266,50
85.26372,38
